text,category
Super ... looking like Hollywood movie,Positive
Adra adra mohan g Anna semakathitu irukkavan kathitu tha iruppankatharunga vetti poralisatha vitta ungaluku vera yenna therium,Negative
Mugamoodi ah Re Release pana mari irukey..🤔.. Anyway padam nallarntha sari,Mixed_feelings
400K likes and 10M views soon,Positive
Yarrrrrrrra emmmmmmathuringa ithu 96 semmmmmaaaaaa LA,Positive
Thalaivar superstar legendary legend Rajini sir aatam aarambam,Positive
long time no see such a nice trailer ! adipoli,Positive
"Trailer paakkum pothu vikram nadicha ""thool"" movie story maathiri irukku..!! 🤔 🤔",Mixed_feelings
"Ayioooooo THALA,, SEMA, AM EXCITED TO UR SCREEN,,,,,,,",Positive
"Youtube likes, views ingu mukkiam illa padam oduma athan இங்க matterrrrrrr",Positive
Poda deei viswasam marana waiting pongala papom,Positive
"Adhigama Allu Irukkanum,,,, Ilya Thalapathy Vijay ,another name of Mass,,,,,,,",Positive
Bairavaa 10 months 15M views Mersel 1 day 15M views,unknown_state
வன்னியர் குல சத்ரியர் சார்பாக படம் வெற்றி பெற எங்கள் வாழ்த்துக்கள்.  All girls should watch this movie.,Positive
Kaalaakodumaa thala machanuku vandhaa nilamayaa paatheengalaa!! Paavaam. Jathiyaa pathi padam yedukureenga apraam yendaa chritianaa herovaa pooteengaa,unknown_state
தமிழ் புல்லிங்கோ  யார் ல இருக்கீங்கோ !!!,unknown_state
Dog - bow bow  Cat - meow meow  Idiots - like like,Positive
Kangana is really doing a great job,Positive
"சமூக வலைத்தளங்களில் இருந்து விலகி, மனிதனின் உண்மையான வாழ்க்கையை விவரிக்கும் படமாக இருக்கும்...",Positive
Kandipa intha pongal ku sweet sapida porom,Positive
idhu 1996 yara yemathura  - semma  line,unknown_state
"Mairu mari iruku trailer, idhuku teaser thevalam.",Positive
Trailer mayiru madhiri iruku aamai nakkis,Negative
Trailer pathutam enna pannaporam  sweet sappada poram,Positive
youtube trending la no 1 varuthu paaru let's trend. therikka vidalaamaaaa........,Negative
படத்தின் வெற்றி தீர்மானிக்கும்....... முத்துராமலிங்கம்....தேவராட்டம் வரிசையில் திரௌபதி.........(நான் சிரித்தால்),Positive
திருப்பூர் மாவட்ட கொங்கு வெள்ளாளக் கவுண்டர் பேரவை சார்பில் படம் வெற்றி பெற வாழ்த்துக்கள் மிரட்டலான கரெக்டான உண்மைய சொல்லியிருக்கு இந்த படத்துல,Positive
Ponunga ku mariyadai . Thalai ku visvasam . Life goals,Positive
Ajith kumar mutta punda nadippin nayakan tha king,Negative
தேவராட்டம் முதல் அடி திரௌபதி  சர வெடி,Positive
அடப்பாவி எல்லா ஜாதி வெறியன்களும் இங்க தான் இருக்காங்க போல............ 🤦‍ ஜாதிய பிரிச்சிட்டு அவன் ஜாலியா இருக்கான் (பார்ப்பான் ) இவனுங்க சாவுறானுங்க.... 🤦‍,unknown_state
Go an fuck an few man hasan,Negative
Bhojan kujan tamil ponnungale ivanunga kannuku theriyadhu,Negative
சினிமாவின்  சைக்கோ மிஷ்கின் சார் வேறலெவல் சார் வாழ்த்துக்கள்,Positive
Mohan Anna mobile number anupunga pls,unknown_state
before 12 hours 300k likes THALA ROCKING.....,Mixed_feelings
Whenever my heart broken and mind upset that time i watch the energetic song   thala உங்களுக்கு உரிய நேரம் வரும் அந்த நாளுக்காக நாங்க கார்த்திருக்கிறோம்,Positive
Enna kathir saar bigil shooting'la ulla athey football'e ingayum eduttu vanttinga pola super saar,Positive
Thalaivaaa!!!..therikka vittuta thalaivaaa!!..vayasaanalum unnoda alagum stylum konjam kooda maarala,Negative
thalaivaaa Vijay na semmaaaaa  all scenes supervbbbbbbbb,Positive
Wow mass trailer in sanga tamizhan,Positive
Kangna Ranaut  Fan's,unknown_state
thala ajith enna nunikirunga thala vijay+vijay= ajith+ajith =vijay,Positive
Dislike poduravanlaam pombala porukinga .  Ithu varaikum 48k  porukinga  trailer paathuruthukunga,Mixed_feelings
Innum evlo varusam daan idey concept tamil cinema le varumo,Negative
Trailer superaa irukaanu therila .Kandipa padam semaya irukum bcoz it's VETRIMAARAN movie,Positive
"Vijay fans we support Rajini sir , Thalivar thaan jaikanum .",unknown_state
Feenix parava Maathiri erikka erikka ezhunth varaaaaa....,Positive
I think movie  is vera level.... 90 kid daaaa,Positive
Trailer pudikalana like eh podu Tariler pudicha comment pannu,unknown_state
Epdi naraya.. Naraya.. Naraya..naraya..naraya..naraya..this is ajith kumar roar..,Positive
Social luku theva pada koodiya Padam,Positive
Music antha alavuku eadukal kaithi la BGM na athu asuran BGM than best BGM 2019,Negative
சேலம் மாவட்டம் ஆத்தூர் வட்டம் வன்னியர் சங்கம் சார்பாக படம் வெற்றிபெற வாழ்த்துக்கள் சினிமா மோகன்ஜி வாழ்த்துக்கள்,Positive
Innum 44200 views balance  adichi thookalamaa ‍‍‍‍‍‍‍,Positive
karthick subburaj movie nale maas ah thaan irukum,Positive
மோகன்லால்கே voice kewalama iruku - Tamil pronounce,Negative
வணக்கம் டா மாப்ளா சிவகங்கையில் இருந்து படம் வெற்றி பெற வாழ்த்துக்கள்,Positive
Thairiyama dewali Ku va thalaiva  nanga irukom irupom 🤗,unknown_state
படம் மாபெரும் வெற்றி பெற ஸ்ரீவை சுரேஷ் தேவர் அவர்களின் சார்பாக மனமார்ந்த வாழ்த்துக்கள்,Positive
நாகபதனி மக்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துகள்,Positive
dialog sollu na pattu write vachii irrukiga pooga ya ....,Mixed_feelings
Super  engha thalivar vera level,Positive
enna iruthalum thala Vijay pola varuma,Positive
Ipdiye Pesi x2 Makkale Muttalakki Ningge Kulir Kaaivingele..2020'le Edukure Padathe Paaru..Thiruntheve Maatingedaa.Karumam,Negative
எல்லாம் ஏவ்வளவு கஷ்டப்பட்டு நடித்தாலும் ..விஜய் சேதுபதி..எதார்த்த நடிப்பு இதுலேயே தெரியுது மாஸ் அண்ணா,Positive
Bigil kuda realsee panatha da unga padam odathu,Positive
Chinna vayusaula erila kuzhipola Anga Pola Adhu Mela than nadakurom,unknown_state
"இது, நம் உண்மை காவல்துறை அதிகாரி பொன்.மாணிக்கவேல் அய்யா அவர்களின் கதைதானா என்பதைக் குறிப்பிடாததுபோல் இருக்கிறதே! பிரபு தேவா மிகப் பொருத்தமாக இருக்கிறார்.இயல்புக்கு மீறிய நடன,காதல்,சண்டைகளை தவிர்த்து, யதார்த்த படைப்பான விசாரணை பட அளவுக்கு உள்ளே எடுக்கப்பட்டிருந்தால்...நிச்சயம் மக்கள் ரசனைக்கு மிகப்பெரும் விருந்தாக இப்படம் அமையும் என்பதில் எவ்விதமான சந்தேகமில்லை! வெற்றிக்கு இப்போதே வாழ்த்துக்கள்!",Positive
Vara vanniyar villupuram sarpaga padam vettri pera vaythuggal,Positive
வீர முத்தரையர் சமுதாயம் சார்பாக வெற்றி பெற வாழ்த்துகள்,Positive
Pakaa masssssss thalaivaaaaar super very nice Amazing ....,Positive
En Thalaivar  senjitinga paravala vidu trailer super,Positive
Ngk ngk kumaraa ne போடா,Mixed_feelings
Rahman Bgm Mary Theriyala Ena achu Sir,Negative
Thalada Thalada Thalada Thalada Vaa Thala Vaa Thala Vaa Thala Therikka Viduvøm Pattaasa Pøla Vaa Thala Vaa Thala Vaa Thala Unna Vida Gethu Inga Yaarum Illa verithanam overload,Mixed_feelings
Dhanush anna super teejay anna veum super,Positive
Yean 720p la patha kuda... Clarity eh ilama iruku... Phone la prblm ah ila...  Pixel eh ipadi thanaa🤔🤔🤔,Negative
thala mass padam pakkanum pola irukae 7 days irukae,Positive
Last dialog mass varaleval thala YSR music varaleval thala,Positive
"0:17 Dear Virat Kohli, Consider Sasikumar in Indian Cricket Team",unknown_state
La la la la la la SURVIVA...sarithiram purattu poratam pallayiram..unmayana varigal..,Positive
Semaa thalaivare kandipa thetre la poi thaan movie paakanum,Positive
சமீபகாலமாக கால்பந்தாட்டத்தை மையப்படுத்தி தமிழ் படங்கள் வருவது மகிழ்ச்சியளிக்கிறது...,Positive
"துலக்க லவ் ஜிகாத், கிறிஸ்துவ மத மாற்ற காதல் மற்றும் தொடர்ந்து மத மாற்ற வேட்டை... இத பத்தியும் படம் எடுக்கணும்..",unknown_state
வன்னியனின் வெற்றிக்கோட்டை தருமபுரி. இப்படம் வெளிவருவதற்கு வெறியோடு காத்துகொண்டு இருக்கிறேன். வி ந புரட்சிப்பித்தன்,unknown_state
விஸ்வகர்மா சமூகம் சார்பாக படம் வெற்றிஅடைய வாழ்த்துக்கள்........,Positive
Mass eduga vendiyatha mokka edutha vesuiruga ..music  bgm Mattum mass iruntha pothadu  ....,Negative
Yaru yaru download paniyum .. YouTube la yae pakuringa repeated ah,Positive
Prabhu deva original voice mari illaye 🤔🤔🤔,Negative
Bgm resembles a Malayalam song nee januariyil viriyumo from akale movie...,Mixed_feelings
Idhu 96 yara yemathra sema kalai.,Positive
Annan fans from kerala like here,unknown_state
You are lying lying lying lying,Positive
Ellarum again and again paarunga......  42 million views varanum,unknown_state
theri mass vj annan manasa allunu solli allidyngana im waiting' அண்ணன் விஜய் parka,Positive
இரும்புக் கோடை முரட்டு சிங்கம் feel இருக்கே🤔,Positive
4 minutes trailer ippotha pakkure.. editing vera level,Positive
Sk வுக்கு theme music வேண்டும் தல Yuvan! Title BGM Semma .,Positive
Always thala # thala always #,Positive
Super thalaivaaaa awesome  awesome  awesome,Positive
inoru visayam soldren madras padathula aagayam theepidicha nila thungumanu song la oru love jodi nadanthu pogum athula antha ponnu chudithar border la PMK kodi colour kuduthirupanga.... Itha neenga venuna coincidence soluvinga kaathula poo suthuvinga atha nanga yerka maatom.. Madras movie la football team colour blue team beat yellow team.... Ithuvum coincidence nu solvingala.. Vanniyarium pmk vaiyum than madras padam muluka muluka ethirthu edukapattathu.. Summa vailaye vada sudathingaya unmaya accept panunga,Negative
ayoo thalaivaaa your are great padam sikirama varatum,Positive
தரமான டிரைலர்  திரைப்படம் வெற்றி பெற நல்வாழ்த்துக்கள்,Positive
troll pandravan...la....pakka dash...than....Surya sir semaya iruku by thala thalapathy fanz....,Positive
i phone vs android nu ninaikiren,Positive
Thiruvarur . Padayachiyaragal sarbaga vetripeara vazhthukal,Positive
படத்தை வெற்றியடைய முழு ஆதரவு அளிப்போம் ..தேவர் சமுதாயம்  சிவகங்கை,Positive
டேய்... என்னடா  பொசுக்குன்னு  ஒரு  பெரிய  மனுசன  அசிங்கப்படுத்திட்டீங்க ?,Negative
"MERSAL , PETTA , SARKAR , VISWASAM ipadi ellam movie RECORD KANDIPA BREAK PANNUM",Positive
"அட அரை மென்டல் s உங்களா 4000000 பெரியார், பாரதியார், Ambedkar வந்தாலும் திருத்த முடியாது",unknown_state
Enpt ticket book pannavanga like panunga,Positive
Intha deepavali Thala fans kuda kondadaporaga,Negative
rakul prett singh ku aga etha padam pakanum,Positive
sangathamizhan maasss actor makkal selvan vijay sethupathi,Positive
பறையனும் வந்த ரத்தம் நமக்கு வந்த தக்காளி சட்னி,unknown_state
ilove you anna...next vishvaasam kaatta thala fans  naaga redy....,Positive
yuvan vera level ya .... valuable script. SK in action,Positive
4days ku appuram trending no2 vanthurukku,unknown_state
Enna ga neenga ipadi pani vachu tinking  MARANA MASSSSS RAJNI MANIA STARTS ......,Positive
Yaaravathu advise panna enakum ipdi thaan sirippu varuthu enna pannrathu,unknown_state
0.31 sinna pullaila kulicha eri ku povomda   Andha yerila thanda nadandhu poitu irukom...,Positive
Ajith fans kaithi padathai oda vaipanga,Negative
vaazhl (வாழ்) பட தலைப்ப englishல் படிக்க தடுமாருன யாராவது இருக்கிங்களா,Positive
Elaii mersal ah en da senja idpi... Enakae siripu vandirichu raa...,Positive
Tirunelveli yadavar sarpaga movie vetri pera valthukal.nice trailer.,Positive
Jothika va patha irritating ah irukku,Negative
trailerna ithu trailer  pakka mass & class   like   muyal vegham dislike Aamai vegham   dear hatter's Uusshh |,Negative
inda pathi like thala fans um thandrukanga da mooditu poo,Negative
"Waiting for 500k likes, 12M views",unknown_state
Mass ah eruku.  Waiting for FDFS.....,Positive
Asingam pidichcha Telugu naai Asith pandaram,Negative
Super. Ivelo naal wait panadhuku sema treat iruku. Kaathirupom,Positive
Like podunganu solli solli usupethi like vanguravanggala Inga oru like podunga,Negative
ஆயிரம் எதிர்ப்புகள் வந்தாலும் தடைகளை தகர்க்கும் உம் மனோபலம்  love you thala,Positive
Neya naana fans hit like here nu vanga aprom irukuda ungaluku,unknown_state
இவனுக்கெல்லாமா ரசிகர்கள் இருக்குறாங்க .... ஒரே ஆச்சரியமல்ல இருக்கு,unknown_state
0:43 enakku mattum than kendrick lamar voice madhiri irukka ?,unknown_state
Boom boom robo da robo da🤖🤖🤖🤖🤖🤖🤖🤖,Mixed_feelings
OMG WAT A CLASSS LEVEL...FINAL TOUCH ENN MASSS ENNANU TERIYADHU LA VJS FANS LIKE KAROOOO,Positive
"Thillalangidi part 2 . .., JR!!!",unknown_state
Yenada trailer ithu ippadi iruku - THALA na THALATHAndaaa  mass daa,Positive
cmt 71111 enna fans da samy thala vera tha,Positive
"காதலிச்சு ஓடி போனா அப்பன் செத்துடுறான்   பொண்ணு காதலிக்க மறுத்தா அந்த பொண்ண வெட்டுறானுங்க   அப்படியே காதலிச்சு ஓடி போய் அப்பனும் சாகலைனா,  3 மாசத்துல பேரம் பேசி துரத்தி விட்டுறானுங்க   கொடூரமான இன அழிப்பு ங்குற ஒரு ஆயுதத்தை கையில் எடுத்துருக்கானுங்க   இதுக்கு சிங்களன் எவ்வளவோ மேல்  போல  இதுல எங்காவது நாம கோவப்பட்டு நம்ம பக்கம் நியாயத்தை பேசுனாலே ஐயோ ஐயோ சாதி வெறி  ன்னு சட்டையை கிழிச்சிகிட்டு ஓடுறானுங்க",Mixed_feelings
"10,855,349    Bairavaa views .............VARLAM VARLAM VA  BAIRAVAA",Positive
"தினம் தினம் 4, இல்ல்5 தடவ நாஞ்சிம் இந்த வீடியோவ பாத்துடுவ நீங்க எப்படி",unknown_state
Trailer leh semme comedy ya ireke padam vere lever...,Positive
Last dialogue Thala & thalapathy Rendu perukkum Tha thala pesirukkaru,Positive
Ivaru ipadiye nadicharuna veetuku poga vendiyathan Nala story la nadichatha vj,Negative
Intha musica engayo ketta Maari irukkey,Mixed_feelings
தமிழ் சினிமாவில் இது போல் ஒரு படம்  இனி வருவது சந்தேகமே...... RAGING VIVEGAM TRAILER,Positive
Padam not blockbuster but average movie,Mixed_feelings
Yenna voice ya.. Paaaaaaa.. Ajith.. Full of positivity,Positive
Mersal laughing scene vera level,Positive
Thalaiva va unaoda theme songa na ya chennal la pota pora,Positive
634k super I am waiting .,Positive
Sema sema sema sema sema sema sema,Positive
Thoongi Enthiracha vudane evlo million views nu paka vanthavanga like podunga....,Positive
Nadipin Nayagan Engal Annan Suriya Next Blockbuster Hit Movie,Positive
இன்னும் ஏன்டா ஜாதி படமா எடுக்குறீங்க 🤧,unknown_state
Ippo varugira ealla padamum ore trendla than varuthu,unknown_state
ella thala fans um oru like podunga,Positive
463K real time likes hope by today 500K likes,unknown_state
கடைசில சும்மா தொங்கினு இருந்த பல்ப ஒடைச்சிட்டானுங்க.,Positive
After ayan Suriya back to form,Positive
Pon maanikkavel iyaava thirayala pakka aavala irukuravanaga like here,unknown_state
இது மாதிரி ஒரு படத்தை தான் இத்தனை வருஷமா எதிர்பார்த்துகொண்டிருந்தேன டிரெய்லர்  பார்க்கும்போதே மனசுக்கு அவ்வளவு சந்தோசமா இருக்கு,Positive
தமிழ் சமூகத்தில்  நடக்கும் நாடக காதலை தோலுரித்து    காட்டவரும் திரௌபதி திரைப்படம் வெற்றிபெற வாழ்த்துக்கள்...  தமிழ் சமுதாயத்திற்கு  #திரெளபதி குழுவினரின் புத்தாண்டு பரிசு.. மாற்றம் உண்டாகட்டும்..,Mixed_feelings
I'm​ BIG FAN OF DHANUSH FROM MOON,Positive
Semma mass anna adhi anna niga ippa sirithal deepavalai than,Positive
Orotta peru suriya thirumbi vanthitenu ethirpaakaville ale,unknown_state
"Movie theater la varalana,,, YouTube la movie vidunga,,kudave unga account number link pannunga,,,naangal thunai nirpom ungaluku",Positive
Sona time la trailer gethu bigil uuhhhuuuu sangu oothaaa,Positive
Padam mokka ya than irukum but thala nadichathunala inum nalla varum Tamil la so nerkonda parvai konjam support panunga,Mixed_feelings
pppppaaaaaa Semmaaa....but vedelam dubbing voice using is Mokka of villan,Negative
"Paaallliiiii pasangalum, paaraaaapasangalum illainaa India supersa irukkummm....",unknown_state
எங்களுக்கு மண்ணும் பொண்ணும் இரண்டுமே முக்கியம் 🤟,Positive
Comment padikka vandhavanga like podunga,unknown_state
Vera lvl BGM U1 rocks in Nerkonda Paarvai,Mixed_feelings
Thalaivar 2050 LA than katchi arampipar.......,Positive
Vera vera level padam ithu,Positive
"Ama athu enna last la loose motion pora Maari nadanthu varathu..,",Negative
Superraa eirrikku thalaiva          ##  Petta paraak ##,Positive
1.32 LA jithu snipper pottu sudaraaru,unknown_state
Thalaiva theri Thalaiva    Varum paar 🤩,Positive
I love thalaivaaaaa Semma marana verar level thalaivaaaaaaaaa,Positive
Adhooo different iruku....nala irukum nu nenaikaravaga like podunga ...,unknown_state
Look like pink hindi movie remake....,Mixed_feelings
THALA Fan FROM   Belgium,Positive
அப்படியே துலுக்கன் மதவெறி பத்தியும் ஒரு படம் எடுங்கய்யா,unknown_state
Nalla padatha pattute somberiya ve irungge da pe payalungala.. urupadatha oru naadu,Mixed_feelings
Vidya vox full sex video,Mixed_feelings
Any1 frm ஆடி அமாவாசை 2019 put லைக்,unknown_state
Teaser parava illa bt #BGM marana massss,Positive
Ending scenes look like  power rangers 🤣 But it’s gud,Positive
Ratchasan part 2 pakuramari iruku.Who agree?,Mixed_feelings
Heroine DD sayal la irukanga.. Gang oda Theatre porom Fun Punrom,Positive
Pangaalingala1.3k like 40m view varamum Innum neriyah neriyah neraiyah neraiyah venum Therika vidanum Thattunga quick ah..,Positive
I hope it is like Tintin movie ...,Positive
Ranjith thevdiya payale neyellam ennada padam edutha...,Negative
மோகன் அண்ணா இன்னும் நெறய நெறய நெறய....படம்....நீங்கள் எடுக்கணும்.... இது படம் மட்டும் இல்ல.. நல்ல பாடம்.,Positive
Vera level kaapaan .marana level ngk,Positive
One day night la nadakkura story mathri iruku,unknown_state
Marana masssssssssssssss eanga thalaivar yaru vayasu ayeduchu mavena parunga enga marana masssssssssssssss eanga thalaivar,Positive
I am waiting waiting waiting nerkondaparavai thala movie ultimate trailor,Positive
Postman web series intha padam maathiri than irukum,Negative
Kaithi Deepavali realise I am waiting,Negative
"பெண்களுக்கு எது பிரச்சனை?\r \r நாடக காதலா? வரதட்சணை கொடுமையா? வன்புனர்வா? ஆசைக்கு இணங்கியவுடன் அதை காணொளியாக எடுத்து வைத்துக்கொண்டு மிரட்டுவதா?\r \r இந்த பிரச்சைகளில் எதில் மாட்டினாலும் ஏன் ஒரு பெண்ணால் மீண்டு வர முடியவில்லை?\r \r நண்பர்கள் கருத்தை தெரிவிக்கலாம், என் கருத்தை பின்னர் தெரிவிக்கிறேன் .   ஆண்களுக்கு ஏன் இந்த பிரச்சனை இல்லை?   யாராவது ஆண்களை பாதுகாக்குணும்னு கெளம்பி இருக்காங்களா?",unknown_state
bigil thayrikka vituthu poiii parilunga da,Mixed_feelings
Kaithi hit aaka Karthi annnavukku best wishes . Hit aakum . Hit aakanum,Mixed_feelings
Lalettan  Surya Annan  Harrish jayaraj,unknown_state
Ayyo amma sami ..enna pesradhane therlada..thala ne vera level..andha six pack scene ku thetre la kandippa perusa iruku..,Positive
Kerala thala die hard fans like here,Positive
nalla illa ya sathyama.....#Mersal varattum ellathayum #Mirattum #தமிழ்,Negative
Yuvan shankar raja sir vera level,Negative
Antha padatha vida... intha padam nalla irukum poliye,unknown_state
THALA DA WISH PRAJIN HARI SIDDIQ UMAR SUNIL LOKESH NAVEEN,unknown_state
first vijay kooda surya compare panniega da surya chinna payan vijay mass,Mixed_feelings
Ithu pei padama illa sports padama,Mixed_feelings
Ithe paathathum yaaruku Irumbukkottai Murattu Singam movie nyabegathuku vanthathu?,Mixed_feelings
Rangaraj Anna ena panraru pa...trailer sema...I'm thalapathy fan...but thala mass uh irrukaru and bgm sema,Positive
அந்த பக்கம் நான் இந்து முஸ்லிம் கிருத்துவனு சாகுறாங்க. இந்த பக்கம் நான் புடுங்குன சாதி புடுங்காத சாதினு சாகுறீங்க. சாவுங்க சாவுங்க நல்லா சாவுங்க எல்லா ரும் செத்த பின்னாடியாவது நான் மனுசன் எனக்கு மனிதம் தான் முக்கியம் வேற எதுவும் வேணாம் னு சொல்ற தலைமுறை வருதானு பார்ப்போம். வாழ்த்துக்கள் சாக தயாராக இருங்கள் எல்லோருமாக.,Mixed_feelings
Jaadhi veri pidicha thevidiya pasangala ellam Sunni ha vetanum nu soldravanga like podunga,unknown_state
சிவகார்த்திகேயன் அண்ணா ரசிகர்கள் சார்பாக இந்த படம் வெற்றி அடைய வாழ்த்துக்கள்,Positive
Sasikala K  mass  thala,Positive
1:23  and 2:26  avar  nilamaiya nenachu  enaku paavam irunthuchu,Positive
படம் வெற்றிபெற தூத்துக்குடி நாடார்  வம்சம் சார்பாக வாழ்த்துக்களை தெரிவிக்கின்றோம்,Positive
Vera 11 tamil industrial la vera 11yedatha pudikapoguthu va thala suriya தமிழ்,Positive
"சிறப்பு,  அனைவரிடமும் மாப்ள மச்சான் ௭ன்று பழகுவோம் ஆனால் அவர்களின் வீட்டிலுள்ள பெண்களை உடன் பிறந்தவளாகவே பார்ப்போம் தேவேந்திகுல வேளாளர் சார்பாக வாழ்த்துக்கள்",Positive
Kolla massss . . Namaku thevaiyanadhu namba dhan adichu vaganum  Vera level thalivaa,Negative
Ending bgm..  omg mirratitaru u1.. Over all marana mass trailer,Positive
1:16 waiting to see tee jay in big screen,Positive
Ya cla kutty kilichu thonga vida porapla..... love u surya.......   ...,Positive
"0. 27sec lesson mathavangala vera mari sollitom(sarkar,mersal) ana neega tha main nu (NGK)",Mixed_feelings
OMG!...Ipdi Mass ah irkum nu ethir pakave illa....,Positive
Ippa than da thalaivar thalaivara irrukaru..,Positive
vijay sir kita ena ketta pazhakam iruku,Mixed_feelings
Twitterla wait panna inga release pannitengala,Mixed_feelings
Daily vanthu views likes check panravan oru like a pottu po  #thala,Positive
wow new movie see ok like good,Positive
25 k dislikes ethuku da intha trailerku poi apdi ungalukku entha trailer tha pidikum,Negative
Sound Vera level panitanga PA surya,Positive
திரைப்படம் அசுர வெற்றி பெற தமிழக பிராமணர் சார்பாக மனமார்ந்த வாழ்த்துக்கள்!!!,Positive
சரக்கு மிடுக்கு கூட்டத்துக்கு சரியான செருப்படி .... (நடகக் காதலுக்கு எதிரான திரௌபதிக்கு வாழ்த்துக்கள் போலி சாதி ஒழிப்பு போராளிகள் நடத்தும் நாடகக் காதலை தோலுரிக்கும் இத் திரைப்படம் மாபெரும் வெற்றி பெற வாழ்த்துக்கள்,Positive
Sema bro na itha pata semaiya srichan bro,Positive
Wow wow wow wow wow wow wow wow wow wah!! No words,Positive
Trailer semma class and mass padathiku kaathirupaa,Positive
"Ennangada ithu viswasam bgm kekuthu, 🤔🤔",Negative
Yaaru da andha naadaga kaadhal groups? Endha thalaivan da apdi Panna sonnan? Evanachu sollungalen..,Negative
ek dum dhakad akshay kumar sir look rajnikant sir,Positive
தர்மபுரி மாவட்ட செயலாளர் டாக்டர் அன்புமணி  தான் டான்,Negative
Thala vera lvl thala... Luv u thalaaaaaaaaaaa,Positive
கொங்கு வெள்ளாளக் கவுண்டர்கள் சார்பாக இந்தப் படம் வெற்றி அடைய வாழ்த்துக்கள்.  மிகச் சிறப்பான Trailer !!,Positive
11mil ...just do it for vijay sirrr!!!!,Positive
Trending la namba Thala trailer thaa..num1...,Positive
Vere level kaappaan teaser vide ngk trailer semma,Positive
From murattu kalai to kaliii....parakkkkkk.....veritanam overloaded,Negative
neraya neraya neraya neraya neraya .,Positive
Pasumbon muthuramalingathevar trust sarpaka vetripera valthukal,Positive
. KIDS :-  GOOD NEWZ       MEN :-  DABBANG 3.       LEGENDS : AVANE SRIMANNARAYANA     Hit like      SUBSCRIBE,Mixed_feelings
Innoru  Vakkil  Rangaraj pandey dhana avaru,Positive
Nadaha kathali eppothu ulla thalaimuraikku urakka sonnathukku nandri . We will support all time.....,unknown_state
1:07 Soodhu kavvum gang. anyone noticed?? :D,unknown_state
கொங்கு  சோழ வெள்ளாளர் சார்பாக  படம்  வெற்றி அடைய வாழ்த்துக்கள்,Positive
Aaga தளபதி fans ku oru kuthu... தல fans ku oru kuthu.. Nalla iruku daa unga dealing uh🤓🤓🤓,Positive
Sema Sema thalaiva ne than enoda uire thalaiva,Positive
2.18 sweet sapda porom ..semma thalaiva...... blur background arumaiyaana edit,Positive
Final dialogue  for both Thala & Thalapathy fans ku solirukaru pola...,Mixed_feelings
510K likes wow,unknown_state
Vera level trailer thalaiva vettrimaran sir super,Positive
Siva karthikeyan fans hit like here,unknown_state
KAADHAL MANNAN ENGAL ANNAN THALA AJITHKUMAR,Positive
1:31 Thala mass,Positive
Padam pathuttu trailer pakka vanthavanga mattum  like pannunga,Positive
Thalaaa daaa........ Thala thambingaa yellam like podunga da.......thalaaa daaaaa....engaa thalaa daaa...🦁,Positive
மாவீரன் மாவட்டம் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் சோழ தேசம்....,Positive
Manirathanam seikram shooting mudicutan oru vela Simbu padathula sethuduvano,unknown_state
Dislike pannavanukelam modi dhanda Pm kadasivaraikum,Negative
Phoenix  paravai ya pathi theriyadhavangalam troll panranga........,Negative
Ethana thadava paathaalum..salikaaaathuda...vera level...seekaram release data sollunga...bro...waiting 4 FDFS...,Positive
Jayam ravi acting sema movie sema comedy ha irukum pola,Positive
Thalaivara ippadi Pakka evlo  nall  achu,Positive
bhairava kola maaasss fans made video...vijay fans must watch,Positive
2.18 la irunthu redmi note5pro la eduthanga pola,Negative
Rajniya vachu senjing in last bit,Positive
"Really மணி ரத்தினம் on கரண்ட் track as 80,90s",unknown_state
NGK NGK NGK NGK NGK NGK NGK NGK NGK NGK,unknown_state
Ranji star marana mass thlaivaa  vijaysethupathi,Positive
I think it is spy movie like vishwaroopam.......,Positive
Thala semma cute ah alaka irukaru,Mixed_feelings
780k likes on d way,Positive
Logesh ah nambalam.....nammala (thalapathy 64) yaematha maataru ninaikira.....,Positive
Yen thalaivanugu evanum edu ella da suryaa anna da,Positive
NGK ... Nandha Gopalan Kumaran .,unknown_state
congrats chiyaan Anna I m thala fan,Positive
Vfx pathi ippo pesungada Hollywood sambranigala,Negative
Aiyoo talaiva pinnitaaru🤗luv u too d core surya,Positive
24 hrs la 400k likes 🤘,Positive
"V for Versatile , V for vikram",Positive
Raatchasan  Movie Fans Like here,Positive
இந்த நாட்டுல ஓவ்வோர்தனுக்கும்  ஓவ்வோரு விதமான பயித்தியம்..   ஆனா எங்களக்கு சூர்யா அன்னா மேலயே பைத்தியம்..,Positive
pakka vj anna.....uyir rasigan.... #thalapathy veriyan,Positive
tralier la Ulla dialogue vera lvl,Positive
Surya Harris jayaraj kv ananad combo...!,Positive
Last dialogue  its true.... Thala superb,Positive
Gypsy  release panunuga  jeeva  bro...,Positive
Trailer pathu onu purinjikiten. Payan asuran La nadiukuran appan droupathy La nadikuran. So cinema karanga enna venalum panuvanga. Namba oosaara irukanum.   Irundhalum trailer and dialogues mass ah Iruku.,Positive
Identiy of Arjun dailogue : aii terikaa,Positive
Mass .... marana waiting.... JR fans Like,unknown_state
Trailer veraaa 11 kandippaaa blockbuster thasa...,Positive
#2 on Trending Malaysia like podunge!,unknown_state
